ID	Uniprot
ZNF155	Q12901
SP5	Q6BEB4
SLC30A9	Q6PML9
CBLL2	Q8N7E2
ARID1B	Q8NFD5
ZSCAN18	Q8TBC5
DOT1L	Q8TEK3
LHX4	Q969G2
CENPT	Q96BT3
PHB2	Q99623
EBF3	Q9H4W6
ZNF581	Q9P0T4
DMRT1	Q9Y5R6
ZNF263	O14978
KDM6A	O15550
CBFA2T3	O75081
ZNF324	O75467
SPDEF	O95238
SP1	P08047
TAT	P17735
HNF1B	P35680
ELK3	P41970
ERF	P50548
FOXG1	P55316
MECOM	Q03112
MED25	Q71SY5
ZNF548	Q8NEK5
KLF6	Q99612
ZNF184	Q99676
ZNF532	Q9HCE3
DTL	Q9NZJ0
KDM6B	O15054
OGG1	O15527
PER1	O15534
TOX4	O94842
MTHFD1	P11586
HMGA1	P17096
DDIT3	P35638
MECP2	P51608
HOXA4	Q00056
FOXC1	Q12948
TEAD4	Q15561
HMBOX1	Q6NT76
IRF2BP2	Q7Z5L9
ZNF354C	Q86Y25
ZNF502	Q8TBZ5
ZNF507	Q8TCN5
ZNF670	Q9BS34
NUFIP1	Q9UHK0
IKZF3	Q9UKT9
ZNF490	Q9ULM2
MEN1	O00255
KMT2D	O14686
SVIL	O95425
CUX1	P39880
MEF2B	Q02080
RBBP4	Q09028
NFE2	Q16621
ZNF770	Q6IQ21
SRCAP	Q6ZRS2
ZNF662	Q6ZS27
ZNF329	Q86UD4
GLIS1	Q8NBF1
HJURP	Q8NCD3
GRHL3	Q8TE85
ZNF48	Q96MX3
ZNF350	Q9GZX5
SMARCAL1	Q9NZC9
SFMBT1	Q9UHJ3
TERT	O14746
YY2	O15391
ZNF354A	O60765
JUN	P05412
HNRNPC	P07910
ESRRA	P11474
UBTF	P17480
LMO1	P25800
TFAP4	Q01664
CBFB	Q13951
STAT4	Q14765
NCOA1	Q15788
USF2	Q15853
GATAD2A	Q86YP4
ZSCAN31	Q96LW9
ZNF317	Q96PQ6
TBX5	Q99593
OVOL2	Q9BRP0
PBX4	Q9BYU1
HAT1	O14929
SETD1A	O15047
HBP1	O60381
NR3C2	P08235
PBX2	P40425
CDK9	P50750
FOXA1	P55317
SP140	Q13342
ZMYND11	Q15326
ARID3B	Q8IVW6
KDM2B	Q8NHM5
TAF15	Q92804
HDAC8	Q9BY41
BHLHE41	Q9C0J9
METTL14	Q9HCE5
SIRT3	Q9NTG7
ZBTB40	Q9NUA8
HEY1	Q9Y5J3
NCOA3	Q9Y6Q9
E2F8	A0AVK6
MEIS1	O00470
PCF11	O94913
PTPRA	P18433
NFYB	P25208
HOXC9	P31274
MLLT3	P42568
HCFC1	P51610
ZNF121	P58317
RING1	Q06587
ATM	Q13315
NFATC4	Q14934
KDM7A	Q6ZMT4
BANP	Q8N9N5
DLX4	Q92988
ZBTB10	Q96DT7
ZFP42	Q96MM3
HES7	Q9BYE0
ZNF256	Q9Y2P7
H2AZ1	P0C0S5
VDR	P11473
FUS	P35637
RBMX	P38159
YAP1	P46937
ZNF84	P51523
NUP98	P52948
SKP2	Q13309
NPAT	Q14207
MXD4	Q14582
ZZZ3	Q8IYH5
GTF3C2	Q8WUA4
JARID2	Q92833
ZNF778	Q96MU6
ZSCAN5A	Q9BUG6
FOXP3	Q9BZS1
DAXX	Q9UER7
ZNF510	Q9Y2H8
BACH1	O14867
SRC	P12931
RARG	P13631
TFEB	P19484
KDM5A	P29375
HOXD13	P35453
NOTCH1	P46531
NKX2-5	P52952
RLF	Q13129
HNF4G	Q14541
ZFHX3	Q15911
ARID2	Q68CP9
SIPA1	Q96FS4
NR1H4	Q96RI1
ZNF436	Q9C0F3
ZNF407	Q9C0G0
VRTN	Q9H8Y1
TRPS1	Q9UHF7
ZNF777	Q9ULD5
DICER1	Q9UPY3
CLOCK	O15516
KDM4A	O75164
NCOR1	O75376
DKK1	O94907
NFIC	P08651
PAX7	P23759
YY1	P25490
RORA	P35398
CTCF	P49711
CEBPD	P49716
HSF1	Q00613
FOXK2	Q01167
TOP2B	Q02880
EGR4	Q05215
RAD51	Q06609
ZNF280C	Q8ND82
FERD3L	Q96RJ6
KLF16	Q9BXK1
APOBEC3B	Q9UH17
HSF4	Q9ULV5
MBD4	O95243
NSD2	O96028
PARP1	P09874
CEBPB	P17676
ELK4	P28324
ZNF133	P52736
CEBPG	P53567
PTEN	P60484
SRSF4	Q08170
ORC2	Q13416
ZSCAN23	Q3MJ62
LCORL	Q8N3X6
ZNF561	Q8N587
ZNF614	Q8N883
ZNF274	Q96GC6
ZNF582	Q96NG8
