PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
AD2U	2	B01	70776	34780	11928	P89474	19536	P03126	No	B	01
PGADT7	2	B01	9784	2871	2437	ENSG00000160062	2437	ENSG00000160062	Yes	B	01
AD2U	2	B02	58162	31639	29616	P03255	29616	P03255	Yes	B	02
PGADT7	2	B02	18856	455	0	ENSG00000204531	100	ENSG00000169016	No	B	02
AD2U	2	B03	7696	2310	0	NA	390	P03256	NA	B	03
PGADT7	2	B03	170985	2962	10	ENSG00000170653	597	ENSG00000169016	No	B	03
AD2U	2	B04	73503	18840	16439	P06788	16439	P06788	Yes	B	04
PGADT7	2	B04	1569	326	141	ENSG00000205250	141	ENSG00000205250	Yes	B	04
AD2U	2	B05	181147	41694	35102	A3F906	35102	A3F906	Yes	B	05
PGADT7	2	B05	7346	1961	1315	ENSG00000197024	1315	ENSG00000197024	Yes	B	05
AD2U	2	B06	118697	54850	50322	P06930	50322	P06930	Yes	B	06
PGADT7	2	B06	23279	7115	2	ENSG00000141510	6508	ENSG00000169016	No	B	06
AD2U	2	B07	4470	254	0	NA	35	P03256	NA	B	07
PGADT7	2	B07	2272	78	0	NA	12	ENSG00000162772	NA	B	07
AD2U	2	B08	102686	55612	52588	P03256	52588	P03256	Yes	B	08
PGADT7	2	B08	1734	252	16	ENSG00000123268	62	ENSG00000169016	No	B	08
AD2U	2	B09	70725	38059	35955	P03256	35955	P03256	Yes	B	09
PGADT7	2	B09	7738	2344	1973	ENSG00000126351	1973	ENSG00000126351	Yes	B	09
AD2U	2	B10	26	13	0	P03255	6	ENSG00000167967	No	B	10
PGADT7	2	B10	6	0	0	ENSG00000185591	NA	NA	NA	B	10
AD2U	2	B11	9539	411	0	NA	55	P03256	NA	B	11
PGADT7	2	B11	192	19	0	ENSG00000118260	4	ENSG00000162772	No	B	11
AD2U	2	B12	7303	511	0	NA	90	ENSG00000205250	NA	B	12
PGADT7	2	B12	3525	125	0	NA	17	ENSG00000169016	NA	B	12
AD2U	2	C01	6521	3535	3262	P03259	3262	P03259	Yes	C	01
PGADT7	2	C01	3582	1132	1057	ENSG00000162772	1057	ENSG00000162772	Yes	C	01
AD2U	2	C02	43	18	0	P03259	7	ENSG00000126351	No	C	02
PGADT7	2	C02	13	1	0	ENSG00000115415	1	P0C746	No	C	02
AD2U	2	C03	32776	15913	14157	P03120	14157	P03120	Yes	C	03
PGADT7	2	C03	35008	11032	36	ENSG00000141510	10317	ENSG00000169016	No	C	03
AD2U	2	C04	169	81	0	NA	48	P03256	NA	C	04
PGADT7	2	C04	2792	879	0	NA	821	ENSG00000177311	NA	C	04
AD2U	2	C05	95538	51316	48453	P03256	48453	P03256	Yes	C	05
PGADT7	2	C05	4428	308	0	ENSG00000185591	56	ENSG00000162772	No	C	05
AD2U	2	C06	128064	60855	55996	P06463	55996	P06463	Yes	C	06
PGADT7	2	C06	4104	1028	626	ENSG00000126456	626	ENSG00000126456	Yes	C	06
AD2U	2	C07	6217	490	0	NA	72	P03256	NA	C	07
PGADT7	2	C07	3147	124	0	NA	21	ENSG00000169016	NA	C	07
AD2U	2	C08	92287	50165	46847	P0C746	46847	P0C746	Yes	C	08
PGADT7	2	C08	44840	14750	13811	ENSG00000162772	13811	ENSG00000162772	Yes	C	08
AD2U	2	C09	4032	801	0	NA	113	P03256	NA	C	09
PGADT7	2	C09	40136	12415	11647	ENSG00000077092	11647	ENSG00000077092	Yes	C	09
AD2U	2	C10	98410	3944	0	P36710	653	P03256	No	C	10
PGADT7	2	C10	12424	3627	3211	ENSG00000169016	3211	ENSG00000169016	Yes	C	10
AD2U	2	C11	163790	4790	0	P0C686	780	P03256	No	C	11
PGADT7	2	C11	5417	1390	962	ENSG00000167967	962	ENSG00000167967	Yes	C	11
AD2U	2	C12	5865	384	0	NA	67	P03256	NA	C	12
PGADT7	2	C12	3055	122	0	NA	26	ENSG00000169016	NA	C	12
AD2U	2	D01	13	6	0	NA	2	A3F906	NA	D	01
PGADT7	2	D01	4	1	0	ENSG00000141646	1	P03410	No	D	01
AD2U	2	D02	19380	6067	0	NA	5449	Q9JFM0	NA	D	02
PGADT7	2	D02	4698	1338	1204	ENSG00000123268	1204	ENSG00000123268	Yes	D	02
AD2U	2	D03	140167	26886	20444	P04608	20444	P04608	Yes	D	03
PGADT7	2	D03	3646	491	0	ENSG00000185591	107	ENSG00000169016	No	D	03
AD2U	2	D04	4798	2194	2024	A3F905	2024	A3F905	Yes	D	04
PGADT7	2	D04	87	7	0	ENSG00000141646	3	ENSG00000162772	No	D	04
AD2U	2	D05	41518	20828	18666	P03120	18666	P03120	Yes	D	05
PGADT7	2	D05	39234	13409	12555	ENSG00000137947	12555	ENSG00000137947	Yes	D	05
AD2U	2	D06	43855	22453	19918	P03256	19918	P03256	Yes	D	06
PGADT7	2	D06	138263	2239	5	ENSG00000170653	477	ENSG00000169016	No	D	06
AD2U	2	D07	135812	40173	35113	P06932	35113	P06932	Yes	D	07
PGADT7	2	D07	4867	1242	741	ENSG00000197024	741	ENSG00000197024	Yes	D	07
AD2U	2	D08	7107	391	0	NA	55	P03256	NA	D	08
PGADT7	2	D08	3337	155	0	NA	19	ENSG00000162772	NA	D	08
AD2U	2	D09	163186	5701	0	D0EF64	863	P03256	No	D	09
PGADT7	2	D09	3014	450	0	NA	97	ENSG00000169016	NA	D	09
AD2U	2	D10	127093	35889	31226	P06932	31226	P06932	Yes	D	10
PGADT7	2	D10	2369	347	0	ENSG00000101412	87	ENSG00000169016	No	D	10
AD2U	2	D11	26018	13131	12040	Q2HR71	12040	Q2HR71	Yes	D	11
