PlasmidNames	PlateIndexs	WellIndexs	TrimmedReads	AlignedReads	CorrectReads	expectedSeqs	max_n_reads_s	max_n_reads_names	expected	letter	number
PGADT7	8	C02	1232	122	0	NA	21	ENSG00000198040	NA	C	02
AD2U	8	C03	10683	3578	0	NA	2931	Q9JFM0	NA	C	03
PGADT7	8	C03	22024	404	0	ENSG00000278062	47	ENSG00000198040	No	C	03
AD2U	8	C04	164245	36705	31340	P03129	31340	P03129	Yes	C	04
PGADT7	8	C04	4635	307	0	ENSG00000130522	46	ENSG00000089775	No	C	04
AD2U	8	C05	45357	23446	21109	P03120	21109	P03120	Yes	C	05
PGADT7	8	C05	42603	16741	16110	ENSG00000180806	16110	ENSG00000180806	Yes	C	05
AD2U	8	C06	40140	2173	0	P03126	445	Q9JFM0	No	C	06
PGADT7	8	C06	16888	5766	5390	ENSG00000166949	5390	ENSG00000166949	Yes	C	06
AD2U	8	C07	4664	1555	0	NA	659	Q9JFM0	NA	C	07
PGADT7	8	C07	58054	22326	21553	ENSG00000168286	21553	ENSG00000168286	Yes	C	07
AD2U	8	C08	6013	2120	0	NA	1748	Q9JFM0	NA	C	08
PGADT7	8	C08	15761	314	0	ENSG00000196705	36	ENSG00000198040	No	C	08
AD2U	8	C09	77689	41877	38768	A3F908	38768	A3F908	Yes	C	09
PGADT7	8	C09	1129	121	8	ENSG00000116044	25	ENSG00000168286	No	C	09
AD2U	8	C10	95243	32981	8431	A3F906	21159	P03120	No	C	10
PGADT7	8	C10	13523	2898	4	ENSG00000166478	2524	ENSG00000188295	No	C	10
AD2U	8	C11	6625	2337	0	NA	2059	Q9JFM0	NA	C	11
PGADT7	8	C11	229	15	0	NA	5	ENSG00000198040	NA	C	11
AD2U	8	C12	13336	3546	0	NA	3129	Q9JFM0	NA	C	12
PGADT7	8	C12	503	22	0	NA	5	ENSG00000168286	NA	C	12
AD2U	8	D01	145480	67246	62294	A3F905	62294	A3F905	Yes	D	01
PGADT7	8	D01	2247	237	0	ENSG00000109101	39	ENSG00000089775	No	D	01
AD2U	8	D02	53999	29855	23351	P03169	23351	P03169	Yes	D	02
PGADT7	8	D02	872	69	0	NA	12	ENSG00000198040	NA	D	02
AD2U	8	D03	5246	1407	0	NA	598	Q9JFM0	NA	D	03
PGADT7	8	D03	53557	17440	16622	ENSG00000198040	16622	ENSG00000198040	Yes	D	03
AD2U	8	D04	11342	3836	0	NA	3460	Q9JFM0	NA	D	04
PGADT7	8	D04	316	15	0	NA	5	ENSG00000198040	NA	D	04
AD2U	8	D05	6272	3259	3050	A3F908	3050	A3F908	Yes	D	05
PGADT7	8	D05	78	10	0	ENSG00000124813	4	ENSG00000089775	No	D	05
AD2U	8	D06	171547	37930	32304	P03129	32304	P03129	Yes	D	06
PGADT7	8	D06	11903	3687	3293	ENSG00000089775	3293	ENSG00000089775	Yes	D	06
AD2U	8	D07	171586	40812	35015	P06788	35015	P06788	Yes	D	07
PGADT7	8	D07	3620	628	324	ENSG00000261992	324	ENSG00000261992	Yes	D	07
AD2U	8	D08	8770	2569	0	NA	1824	Q9JFM0	NA	D	08
PGADT7	8	D08	38115	14329	13815	ENSG00000089775	13815	ENSG00000089775	Yes	D	08
AD2U	8	D09	186242	40286	33922	P03129	33922	P03129	Yes	D	09
PGADT7	8	D09	2828	305	0	ENSG00000133740	48	ENSG00000168286	No	D	09
AD2U	8	D10	21313	10279	7108	F5HCV3	7108	F5HCV3	Yes	D	10
PGADT7	8	D10	615	41	0	NA	6	ENSG00000089775	NA	D	10
AD2U	8	D11	34984	17961	15777	P06921	15777	P06921	Yes	D	11
PGADT7	8	D11	11764	4166	3936	ENSG00000173153	3936	ENSG00000173153	Yes	D	11
AD2U	8	D12	5973	2043	0	NA	1783	Q9JFM0	NA	D	12
PGADT7	8	D12	276	12	0	NA	3	ENSG00000168286	NA	D	12
AD2U	8	E01	56899	30190	27712	P03120	27712	P03120	Yes	E	01
PGADT7	8	E01	2982	142	0	ENSG00000278062	18	ENSG00000168286	No	E	01
AD2U	8	E02	6764	2863	0	NA	2436	Q9JFM0	NA	E	02
PGADT7	8	E02	235	22	0	NA	4	ENSG00000198040	NA	E	02
AD2U	8	E03	195551	90856	83831	A3F905	83831	A3F905	Yes	E	03
PGADT7	8	E03	3041	338	0	ENSG00000134323	62	ENSG00000168286	No	E	03
AD2U	8	E04	383783	17936	8229	P06788	8229	P06788	Yes	E	04
PGADT7	8	E04	6074	510	0	ENSG00000157554	81	ENSG00000168286	No	E	04
AD2U	8	E05	5398	1894	0	NA	1697	Q9JFM0	NA	E	05
PGADT7	8	E05	148	14	0	NA	4	ENSG00000198040	NA	E	05
AD2U	8	E06	4375	1476	0	NA	1275	Q9JFM0	NA	E	06
PGADT7	8	E06	227	21	0	NA	3	ENSG00000177311	NA	E	06
AD2U	8	E07	9219	3258	0	NA	2853	Q9JFM0	NA	E	07
PGADT7	8	E07	229	20	0	NA	5	ENSG00000089775	NA	E	07
AD2U	8	E08	29873	15147	13627	P06726	13627	P06726	Yes	E	08
PGADT7	8	E08	2222	654	554	ENSG00000166478	554	ENSG00000166478	Yes	E	08
AD2U	8	E09	149227	31240	25906	A3F906	25906	A3F906	Yes	E	09
PGADT7	8	E09	2362	256	36	ENSG00000131849	36	ENSG00000131849	Yes	E	09
AD2U	8	E10	133381	59122	54429	P06930	54429	P06930	Yes	E	10
PGADT7	8	E10	15649	5465	5083	ENSG00000168286	5083	ENSG00000168286	Yes	E	10
AD2U	8	E11	10537	3742	0	NA	3120	Q9JFM0	NA	E	11
PGADT7	8	E11	24781	4968	4666	ENSG00000186660	4666	ENSG00000186660	Yes	E	11
AD2U	8	E12	2210	733	0	NA	579	Q9JFM0	NA	E	12
PGADT7	8	E12	4404	31	0	NA	7	ENSG00000168286	NA	E	12
AD2U	8	F01	73709	39153	36443	A3F908	36443	A3F908	Yes	F	01
PGADT7	8	F01	985	79	0	NA	18	ENSG00000168286	NA	F	01
AD2U	8	F02	50239	24433	22047	P14079	22047	P14079	Yes	F	02
PGADT7	8	F02	863	83	0	NA	14	ENSG00000168286	NA	F	02
AD2U	8	F03	189261	42878	36166	P06788	36166	P06788	Yes	F	03
PGADT7	8	F03	51090	3362	2444	ENSG00000177606	2444	ENSG00000177606	Yes	F	03
AD2U	8	F04	144820	66018	60947	P06463	60947	P06463	Yes	F	04
PGADT7	8	F04	2267	225	0	ENSG00000134323	51	ENSG00000168286	No	F	04
AD2U	8	F05	9241	2806	189	A3F906	345	P06463	No	F	05
PGADT7	8	F05	66952	985	559	ENSG00000125347	559	ENSG00000125347	Yes	F	05
AD2U	8	F06	9952	4507	0	NA	2177	Q9JFM0	NA	F	06
PGADT7	8	F06	105	12	0	ENSG00000135457	4	ENSG00000089775	No	F	06
AD2U	8	F07	53198	25344	22899	P14079	22899	P14079	Yes	F	07
PGADT7	8	F07	1483	283	177	ENSG00000113916	177	ENSG00000113916	Yes	F	07
AD2U	8	F08	181121	39817	33888	P03129	33888	P03129	Yes	F	08
PGADT7	8	F08	2612	290	0	NA	45	ENSG00000180806	NA	F	08
AD2U	8	F09	12783	5452	3126	P03169	3126	P03169	Yes	F	09
PGADT7	8	F09	159143	1732	0	ENSG00000168610	259	ENSG00000168286	No	F	09
AD2U	8	F10	11182	4488	1305	P03203	2762	Q9JFM0	No	F	10
PGADT7	8	F10	236	24	0	NA	7	ENSG00000089775	NA	F	10
AD2U	8	F11	6642	2134	0	NA	251	P06463	NA	F	11
PGADT7	8	F11	141195	7515	5634	ENSG00000196417	5634	ENSG00000196417	Yes	F	11
AD2U	8	F12	5693	1976	0	NA	1743	Q9JFM0	NA	F	12
PGADT7	8	F12	192	18	0	NA	4	ENSG00000089775	NA	F	12
AD2U	8	G01	53036	28906	26829	P16812	26829	P16812	Yes	G	01
PGADT7	8	G01	1484	103	0	NA	19	ENSG00000168286	NA	G	01
AD2U	8	G02	172827	33464	27195	A3F906	27195	A3F906	Yes	G	02
PGADT7	8	G02	6503	1448	1008	ENSG00000172262	1008	ENSG00000172262	Yes	G	02
AD2U	8	G03	277071	60975	51991	P06788	51991	P06788	Yes	G	03
PGADT7	8	G03	4482	549	97	ENSG00000166478	97	ENSG00000166478	Yes	G	03
AD2U	8	G04	8372	2668	179	A3F906	312	P06463	No	G	04
PGADT7	8	G04	57788	329	0	ENSG00000005102	55	ENSG00000168286	No	G	04
AD2U	8	G05	10981	1888	0	NA	1105	Q9JFM0	NA	G	05
PGADT7	8	G05	22830	8313	7945	ENSG00000173153	7945	ENSG00000173153	Yes	G	05
AD2U	8	G06	124441	57647	53190	P06463	53190	P06463	Yes	G	06
PGADT7	8	G06	5942	1669	1314	ENSG00000136997	1314	ENSG00000136997	Yes	G	06
AD2U	8	G07	2901	985	0	NA	868	Q9JFM0	NA	G	07
PGADT7	8	G07	50	7	2	ENSG00000182568	2	ENSG00000089775	No	G	07
AD2U	8	G08	7671	1685	1364	P03129	1364	P03129	Yes	G	08
PGADT7	8	G08	2042	666	625	ENSG00000170345	625	ENSG00000170345	Yes	G	08
AD2U	8	G09	9568	2053	0	NA	1635	Q9JFM0	NA	G	09
PGADT7	8	G09	168	16	0	ENSG00000133740	5	ENSG00000168286	No	G	09
AD2U	8	G10	11	3	0	P04608	1	P03120	No	G	10
PGADT7	8	G10	78	2	0	ENSG00000125347	1	ENSG00000089775	No	G	10
AD2U	8	G11	2620	443	0	NA	352	Q9JFM0	NA	G	11
PGADT7	8	G11	94	5	0	NA	2	ENSG00000198040	NA	G	11
AD2U	8	G12	3584	839	0	NA	565	Q9JFM0	NA	G	12
PGADT7	8	G12	673	31	0	NA	6	ENSG00000089775	NA	G	12
AD2U	8	H01	5042	881	0	NA	652	Q9JFM0	NA	H	01
PGADT7	8	H01	2175	43	0	NA	7	ENSG00000168286	NA	H	01
AD2U	8	H02	12054	2494	0	NA	2080	Q9JFM0	NA	H	02
PGADT7	8	H02	651	32	0	NA	4	ENSG00000168286	NA	H	02
AD2U	8	H03	1569	505	0	NA	423	Q9JFM0	NA	H	03
PGADT7	8	H03	108	9	0	NA	2	ENSG00000089775	NA	H	03
AD2U	8	H04	3183	1135	0	NA	960	Q9JFM0	NA	H	04
PGADT7	8	H04	157	7	0	NA	2	ENSG00000198040	NA	H	04
AD2U	8	H05	4663	1654	0	NA	1460	Q9JFM0	NA	H	05
PGADT7	8	H05	153	9	0	NA	2	ENSG00000168286	NA	H	05
AD2U	8	H06	19230	8222	0	NA	5393	P06463	NA	H	06
PGADT7	8	H06	467	58	0	NA	22	ENSG00000136997	NA	H	06
AD2U	8	H07	4006	1451	0	NA	1238	Q9JFM0	NA	H	07
PGADT7	8	H07	187	22	0	NA	5	ENSG00000198040	NA	H	07
AD2U	8	H08	6264	2127	0	NA	1873	Q9JFM0	NA	H	08
PGADT7	8	H08	180	17	0	NA	4	ENSG00000198040	NA	H	08
AD2U	8	H09	9175	3112	0	NA	2727	Q9JFM0	NA	H	09
PGADT7	8	H09	216	29	0	NA	7	ENSG00000168286	NA	H	09
AD2U	8	H10	6860	2336	0	NA	2035	Q9JFM0	NA	H	10
PGADT7	8	H10	192	15	0	NA	4	ENSG00000158773	NA	H	10
AD2U	8	H11	9739	2553	0	NA	2167	Q9JFM0	NA	H	11
PGADT7	8	H11	394	28	0	NA	6	ENSG00000089775	NA	H	11
AD2U	8	H12	14587	2057	0	NA	1369	Q9JFM0	NA	H	12
PGADT7	8	H12	1317	59	0	NA	10	ENSG00000089775	NA	H	12
